campagne,date,jour,variable,groupe_age,valeur
2021-2022,2021-10-29,8,DOSES(J07E1),65 ans et plus,303682
2021-2022,2021-10-29,8,ACTE(VGP),moins de 65 ans,24371
2021-2022,2021-10-29,8,DOSES(J07E1),moins de 65 ans,72756
2021-2022,2021-10-30,9,ACTE(VGP),65 ans et plus,35504
2021-2022,2021-10-30,9,DOSES(J07E1),65 ans et plus,141989
2021-2022,2021-10-30,9,ACTE(VGP),moins de 65 ans,14001
2021-2022,2021-10-30,9,DOSES(J07E1),moins de 65 ans,44674
2021-2022,2021-10-31,10,ACTE(VGP),65 ans et plus,464
2021-2022,2021-10-31,10,DOSES(J07E1),65 ans et plus,1500
2021-2022,2021-10-31,10,ACTE(VGP),moins de 65 ans,172
2021-2022,2021-10-31,10,DOSES(J07E1),moins de 65 ans,579
2021-2022,2021-11-01,11,ACTE(VGP),65 ans et plus,852
2021-2022,2021-11-01,11,DOSES(J07E1),65 ans et plus,2401
2021-2022,2021-11-01,11,ACTE(VGP),moins de 65 ans,313
2021-2022,2021-11-01,11,DOSES(J07E1),moins de 65 ans,854
2021-2022,2021-11-02,12,ACTE(VGP),65 ans et plus,151892
2021-2022,2021-11-02,12,DOSES(J07E1),65 ans et plus,399202
2021-2022,2021-11-02,12,ACTE(VGP),moins de 65 ans,28909
2021-2022,2021-11-02,12,DOSES(J07E1),moins de 65 ans,82752
2021-2022,2021-11-03,13,ACTE(VGP),65 ans et plus,132283
2021-2022,2021-11-03,13,DOSES(J07E1),65 ans et plus,337307
2021-2022,2021-11-03,13,ACTE(VGP),moins de 65 ans,25122
2021-2022,2021-11-03,13,DOSES(J07E1),moins de 65 ans,73352
2021-2022,2021-11-04,14,ACTE(VGP),65 ans et plus,124827
2021-2022,2021-11-04,14,DOSES(J07E1),65 ans et plus,306386
2021-2022,2021-11-04,14,ACTE(VGP),moins de 65 ans,24211
2021-2022,2021-11-04,14,DOSES(J07E1),moins de 65 ans,68462
2021-2022,2021-11-05,15,ACTE(VGP),65 ans et plus,120242
2021-2022,2021-11-05,15,DOSES(J07E1),65 ans et plus,287367
2021-2022,2021-11-05,15,ACTE(VGP),moins de 65 ans,26376
2021-2022,2021-11-05,15,DOSES(J07E1),moins de 65 ans,70877
2021-2022,2021-11-06,16,ACTE(VGP),65 ans et plus,41072
2021-2022,2021-11-06,16,DOSES(J07E1),65 ans et plus,134290
2021-2022,2021-11-06,16,ACTE(VGP),moins de 65 ans,15313
2021-2022,2021-11-06,16,DOSES(J07E1),moins de 65 ans,45852
2021-2022,2021-11-07,17,ACTE(VGP),65 ans et plus,515
2021-2022,2021-11-07,17,DOSES(J07E1),65 ans et plus,1257
2021-2022,2021-11-07,17,ACTE(VGP),moins de 65 ans,163
2021-2022,2021-11-07,17,DOSES(J07E1),moins de 65 ans,534
2021-2022,2021-11-08,18,ACTE(VGP),65 ans et plus,131120
2021-2022,2021-11-08,18,DOSES(J07E1),65 ans et plus,290012
2021-2022,2021-11-08,18,ACTE(VGP),moins de 65 ans,25307
2021-2022,2021-11-08,18,DOSES(J07E1),moins de 65 ans,68898
2021-2022,2021-11-09,19,ACTE(VGP),65 ans et plus,144903
2021-2022,2021-11-09,19,DOSES(J07E1),65 ans et plus,307027
2021-2022,2021-11-09,19,ACTE(VGP),moins de 65 ans,25984
2021-2022,2021-11-09,19,DOSES(J07E1),moins de 65 ans,69824
2021-2022,2021-11-10,20,ACTE(VGP),65 ans et plus,125243
2021-2022,2021-11-10,20,DOSES(J07E1),65 ans et plus,268875
2021-2022,2021-11-10,20,ACTE(VGP),moins de 65 ans,26073
2021-2022,2021-11-10,20,DOSES(J07E1),moins de 65 ans,71699
2021-2022,2021-11-11,21,ACTE(VGP),65 ans et plus,1078
2021-2022,2021-11-11,21,DOSES(J07E1),65 ans et plus,2678
2021-2022,2021-11-11,21,ACTE(VGP),moins de 65 ans,408
2021-2022,2021-11-11,21,DOSES(J07E1),moins de 65 ans,1196
2021-2022,2021-11-12,22,ACTE(VGP),65 ans et plus,126354
2021-2022,2021-11-12,22,DOSES(J07E1),65 ans et plus,261935
2021-2022,2021-11-12,22,ACTE(VGP),moins de 65 ans,28142
2021-2022,2021-11-12,22,DOSES(J07E1),moins de 65 ans,70635
2021-2022,2021-11-13,23,ACTE(VGP),65 ans et plus,35947
2021-2022,2021-11-13,23,DOSES(J07E1),65 ans et plus,101066
2021-2022,2021-11-13,23,ACTE(VGP),moins de 65 ans,12773
2021-2022,2021-11-13,23,DOSES(J07E1),moins de 65 ans,36667
2021-2022,2021-11-14,24,ACTE(VGP),65 ans et plus,360
2021-2022,2021-11-14,24,DOSES(J07E1),65 ans et plus,1064
2021-2022,2021-11-14,24,ACTE(VGP),moins de 65 ans,213
2021-2022,2021-11-14,24,DOSES(J07E1),moins de 65 ans,586
2021-2022,2021-11-15,25,ACTE(VGP),65 ans et plus,117396
2021-2022,2021-11-15,25,DOSES(J07E1),65 ans et plus,230292
2021-2022,2021-11-15,25,ACTE(VGP),moins de 65 ans,23842
2021-2022,2021-11-15,25,DOSES(J07E1),moins de 65 ans,61887
2021-2022,2021-11-16,26,ACTE(VGP),65 ans et plus,125888
2021-2022,2021-11-16,26,DOSES(J07E1),65 ans et plus,240472
2021-2022,2021-11-16,26,ACTE(VGP),moins de 65 ans,24456
2021-2022,2021-11-16,26,DOSES(J07E1),moins de 65 ans,64631
2021-2022,2021-11-17,27,ACTE(VGP),65 ans et plus,92746
2021-2022,2021-11-17,27,DOSES(J07E1),65 ans et plus,184207
2021-2022,2021-11-17,27,ACTE(VGP),moins de 65 ans,21064
2021-2022,2021-11-17,27,DOSES(J07E1),moins de 65 ans,58361
2021-2022,2021-11-18,28,ACTE(VGP),65 ans et plus,91857
2021-2022,2021-11-18,28,DOSES(J07E1),65 ans et plus,174239
2021-2022,2021-11-18,28,ACTE(VGP),moins de 65 ans,20834
2021-2022,2021-11-18,28,DOSES(J07E1),moins de 65 ans,55015
2021-2022,2021-11-19,29,ACTE(VGP),65 ans et plus,80696
2021-2022,2021-11-19,29,DOSES(J07E1),65 ans et plus,151235
2021-2022,2021-11-19,29,ACTE(VGP),moins de 65 ans,22749
2021-2022,2021-11-19,29,DOSES(J07E1),moins de 65 ans,56755
2021-2022,2021-11-20,30,ACTE(VGP),65 ans et plus,24327
2021-2022,2021-11-20,30,DOSES(J07E1),65 ans et plus,62566
2021-2022,2021-11-20,30,ACTE(VGP),moins de 65 ans,13726
2021-2022,2021-11-20,30,DOSES(J07E1),moins de 65 ans,38569
2021-2022,2021-11-21,31,ACTE(VGP),65 ans et plus,292
2021-2022,2021-11-21,31,DOSES(J07E1),65 ans et plus,771
2021-2022,2021-11-21,31,ACTE(VGP),moins de 65 ans,143
2021-2022,2021-11-21,31,DOSES(J07E1),moins de 65 ans,480
2021-2022,2021-11-22,32,ACTE(VGP),65 ans et plus,75255
2021-2022,2021-11-22,32,DOSES(J07E1),65 ans et plus,139859
2021-2022,2021-11-22,32,ACTE(VGP),moins de 65 ans,28861
2021-2022,2021-11-22,32,DOSES(J07E1),moins de 65 ans,82538
2021-2022,2021-11-23,33,ACTE(VGP),65 ans et plus,80437
2021-2022,2021-11-23,33,DOSES(J07E1),65 ans et plus,145563
2021-2022,2021-11-23,33,ACTE(VGP),moins de 65 ans,31783
2021-2022,2021-11-23,33,DOSES(J07E1),moins de 65 ans,85607
2021-2022,2021-11-24,34,ACTE(VGP),65 ans et plus,58897
2021-2022,2021-11-24,34,DOSES(J07E1),65 ans et plus,108954
2021-2022,2021-11-24,34,ACTE(VGP),moins de 65 ans,25243
2021-2022,2021-11-24,34,DOSES(J07E1),moins de 65 ans,68446
2021-2022,2021-11-25,35,ACTE(VGP),65 ans et plus,58293
2021-2022,2021-11-25,35,DOSES(J07E1),65 ans et plus,105921
2021-2022,2021-11-25,35,ACTE(VGP),moins de 65 ans,24659
2021-2022,2021-11-25,35,DOSES(J07E1),moins de 65 ans,62553
2021-2022,2021-11-26,36,ACTE(VGP),65 ans et plus,56424
2021-2022,2021-11-26,36,DOSES(J07E1),65 ans et plus,99072
2021-2022,2021-11-26,36,ACTE(VGP),moins de 65 ans,28494
2021-2022,2021-11-26,36,DOSES(J07E1),moins de 65 ans,67379
2021-2022,2021-11-27,37,ACTE(VGP),65 ans et plus,16010
2021-2022,2021-11-27,37,DOSES(J07E1),65 ans et plus,38724
2021-2022,2021-11-27,37,ACTE(VGP),moins de 65 ans,17077
2021-2022,2021-11-27,37,DOSES(J07E1),moins de 65 ans,42211
2021-2022,2021-11-28,38,ACTE(VGP),65 ans et plus,312
2021-2022,2021-11-28,38,DOSES(J07E1),65 ans et plus,593
2021-2022,2021-11-28,38,ACTE(VGP),moins de 65 ans,241
2021-2022,2021-11-28,38,DOSES(J07E1),moins de 65 ans,638
2021-2022,2021-11-29,39,ACTE(VGP),65 ans et plus,47378
2021-2022,2021-11-29,39,DOSES(J07E1),65 ans et plus,86001
2021-2022,2021-11-29,39,ACTE(VGP),moins de 65 ans,21273
2021-2022,2021-11-29,39,DOSES(J07E1),moins de 65 ans,51357
2021-2022,2021-11-30,40,ACTE(VGP),65 ans et plus,54192
2021-2022,2021-11-30,40,DOSES(J07E1),65 ans et plus,94850
2021-2022,2021-11-30,40,ACTE(VGP),moins de 65 ans,21188
2021-2022,2021-11-30,40,DOSES(J07E1),moins de 65 ans,50213
2021-2022,2021-12-01,41,ACTE(VGP),65 ans et plus,40252
2021-2022,2021-12-01,41,DOSES(J07E1),65 ans et plus,71523
2021-2022,2021-12-01,41,ACTE(VGP),moins de 65 ans,17357
2021-2022,2021-12-01,41,DOSES(J07E1),moins de 65 ans,42202
2021-2022,2021-12-02,42,ACTE(VGP),65 ans et plus,40202
2021-2022,2021-12-02,42,DOSES(J07E1),65 ans et plus,70914
2021-2022,2021-12-02,42,ACTE(VGP),moins de 65 ans,16056
2021-2022,2021-12-02,42,DOSES(J07E1),moins de 65 ans,37999
2021-2022,2021-12-03,43,ACTE(VGP),65 ans et plus,34194
2021-2022,2021-12-03,43,DOSES(J07E1),65 ans et plus,59561
2021-2022,2021-12-03,43,ACTE(VGP),moins de 65 ans,16513
2021-2022,2021-12-03,43,DOSES(J07E1),moins de 65 ans,37171
2021-2022,2021-12-04,44,ACTE(VGP),65 ans et plus,10634
2021-2022,2021-12-04,44,DOSES(J07E1),65 ans et plus,24530
2021-2022,2021-12-04,44,ACTE(VGP),moins de 65 ans,9942
2021-2022,2021-12-04,44,DOSES(J07E1),moins de 65 ans,23973
2021-2022,2021-12-05,45,ACTE(VGP),65 ans et plus,285
2021-2022,2021-12-05,45,DOSES(J07E1),65 ans et plus,401
2021-2022,2021-12-05,45,ACTE(VGP),moins de 65 ans,197
2021-2022,2021-12-05,45,DOSES(J07E1),moins de 65 ans,432
2021-2022,2021-12-06,46,ACTE(VGP),65 ans et plus,29296
2021-2022,2021-12-06,46,DOSES(J07E1),65 ans et plus,50507
2021-2022,2021-12-06,46,ACTE(VGP),moins de 65 ans,12567
2021-2022,2021-12-06,46,DOSES(J07E1),moins de 65 ans,29396
2021-2022,2021-12-07,47,ACTE(VGP),65 ans et plus,31680
2021-2022,2021-12-07,47,DOSES(J07E1),65 ans et plus,53490
2021-2022,2021-12-07,47,ACTE(VGP),moins de 65 ans,12364
2021-2022,2021-12-07,47,DOSES(J07E1),moins de 65 ans,28612
2021-2022,2021-12-08,48,ACTE(VGP),65 ans et plus,24589
2021-2022,2021-12-08,48,DOSES(J07E1),65 ans et plus,42804
2021-2022,2021-12-08,48,ACTE(VGP),moins de 65 ans,10433
2021-2022,2021-12-08,48,DOSES(J07E1),moins de 65 ans,24950
2021-2022,2021-12-09,49,ACTE(VGP),65 ans et plus,24579
2021-2022,2021-12-09,49,DOSES(J07E1),65 ans et plus,41890
2021-2022,2021-12-09,49,ACTE(VGP),moins de 65 ans,10329
2021-2022,2021-12-09,49,DOSES(J07E1),moins de 65 ans,23967
2021-2022,2021-12-10,50,ACTE(VGP),65 ans et plus,21662
2021-2022,2021-12-10,50,DOSES(J07E1),65 ans et plus,36819
2021-2022,2021-12-10,50,ACTE(VGP),moins de 65 ans,10506
2021-2022,2021-12-10,50,DOSES(J07E1),moins de 65 ans,24127
2021-2022,2021-12-11,51,ACTE(VGP),65 ans et plus,7552
2021-2022,2021-12-11,51,DOSES(J07E1),65 ans et plus,16385
2021-2022,2021-12-11,51,ACTE(VGP),moins de 65 ans,6130
2021-2022,2021-12-11,51,DOSES(J07E1),moins de 65 ans,15093
2021-2022,2021-12-12,52,ACTE(VGP),65 ans et plus,208
2021-2022,2021-12-12,52,DOSES(J07E1),65 ans et plus,405
2021-2022,2021-12-12,52,ACTE(VGP),moins de 65 ans,240
2021-2022,2021-12-12,52,DOSES(J07E1),moins de 65 ans,436
2021-2022,2021-12-13,53,ACTE(VGP),65 ans et plus,20092
2021-2022,2021-12-13,53,DOSES(J07E1),65 ans et plus,33307
2021-2022,2021-12-13,53,ACTE(VGP),moins de 65 ans,8671
2021-2022,2021-12-13,53,DOSES(J07E1),moins de 65 ans,19549
2021-2022,2021-12-14,54,ACTE(VGP),65 ans et plus,21249
2021-2022,2021-12-14,54,DOSES(J07E1),65 ans et plus,34808
2021-2022,2021-12-14,54,ACTE(VGP),moins de 65 ans,8565
2021-2022,2021-12-14,54,DOSES(J07E1),moins de 65 ans,18843
2021-2022,2021-12-15,55,ACTE(VGP),65 ans et plus,17452
2021-2022,2021-12-15,55,DOSES(J07E1),65 ans et plus,29021
2021-2022,2021-12-15,55,ACTE(VGP),moins de 65 ans,7465
2021-2022,2021-12-15,55,DOSES(J07E1),moins de 65 ans,17122
2021-2022,2021-12-16,56,ACTE(VGP),65 ans et plus,17971
2021-2022,2021-12-16,56,DOSES(J07E1),65 ans et plus,29752
2021-2022,2021-12-16,56,ACTE(VGP),moins de 65 ans,7764
2021-2022,2021-12-16,56,DOSES(J07E1),moins de 65 ans,17057
2021-2022,2021-12-17,57,ACTE(VGP),65 ans et plus,16021
2021-2022,2021-12-17,57,DOSES(J07E1),65 ans et plus,25799
2021-2022,2021-12-17,57,ACTE(VGP),moins de 65 ans,8071
2021-2022,2021-12-17,57,DOSES(J07E1),moins de 65 ans,16882
2021-2022,2021-12-18,58,ACTE(VGP),65 ans et plus,5682
2021-2022,2021-12-18,58,DOSES(J07E1),65 ans et plus,11240
2021-2022,2021-12-18,58,ACTE(VGP),moins de 65 ans,4705
2021-2022,2021-12-18,58,DOSES(J07E1),moins de 65 ans,10627
2021-2022,2021-12-19,59,ACTE(VGP),65 ans et plus,213
2021-2022,2021-12-19,59,DOSES(J07E1),65 ans et plus,445
2021-2022,2021-12-19,59,ACTE(VGP),moins de 65 ans,229
2021-2022,2021-12-19,59,DOSES(J07E1),moins de 65 ans,352
2021-2022,2021-12-20,60,ACTE(VGP),65 ans et plus,11934
2021-2022,2021-12-20,60,DOSES(J07E1),65 ans et plus,19224
2021-2022,2021-12-20,60,ACTE(VGP),moins de 65 ans,6615
2021-2022,2021-12-20,60,DOSES(J07E1),moins de 65 ans,13995
2021-2022,2021-12-21,61,ACTE(VGP),65 ans et plus,11360
2021-2022,2021-12-21,61,DOSES(J07E1),65 ans et plus,18337
2021-2022,2021-12-21,61,ACTE(VGP),moins de 65 ans,5959
2021-2022,2021-12-21,61,DOSES(J07E1),moins de 65 ans,12649
2021-2022,2021-12-22,62,ACTE(VGP),65 ans et plus,8082
2021-2022,2021-12-22,62,DOSES(J07E1),65 ans et plus,13733
2021-2022,2021-12-22,62,ACTE(VGP),moins de 65 ans,4898
2021-2022,2021-12-22,62,DOSES(J07E1),moins de 65 ans,10752
2021-2022,2021-12-23,63,ACTE(VGP),65 ans et plus,6755
2021-2022,2021-12-23,63,DOSES(J07E1),65 ans et plus,11948
2021-2022,2021-12-23,63,ACTE(VGP),moins de 65 ans,4028
2021-2022,2021-12-23,63,DOSES(J07E1),moins de 65 ans,9887
2021-2022,2021-12-24,64,ACTE(VGP),65 ans et plus,2660
2021-2022,2021-12-24,64,DOSES(J07E1),65 ans et plus,6514
2021-2022,2021-12-24,64,ACTE(VGP),moins de 65 ans,1968
2021-2022,2021-12-24,64,DOSES(J07E1),moins de 65 ans,5834
2021-2022,2021-12-25,65,ACTE(VGP),65 ans et plus,38
2021-2022,2021-12-25,65,DOSES(J07E1),65 ans et plus,152
2021-2022,2021-12-25,65,ACTE(VGP),moins de 65 ans,26
2021-2022,2021-12-25,65,DOSES(J07E1),moins de 65 ans,62
2021-2022,2021-12-26,66,ACTE(VGP),65 ans et plus,171
2021-2022,2021-12-26,66,DOSES(J07E1),65 ans et plus,399
2021-2022,2021-12-26,66,ACTE(VGP),moins de 65 ans,87
2021-2022,2021-12-26,66,DOSES(J07E1),moins de 65 ans,146
2021-2022,2021-12-27,67,ACTE(VGP),65 ans et plus,6779
2021-2022,2021-12-27,67,DOSES(J07E1),65 ans et plus,11137
2021-2022,2021-12-27,67,ACTE(VGP),moins de 65 ans,4229
2021-2022,2021-12-27,67,DOSES(J07E1),moins de 65 ans,8889
2021-2022,2021-12-28,68,ACTE(VGP),65 ans et plus,7259
2021-2022,2021-12-28,68,DOSES(J07E1),65 ans et plus,11737
2021-2022,2021-12-28,68,ACTE(VGP),moins de 65 ans,4187
2021-2022,2021-12-28,68,DOSES(J07E1),moins de 65 ans,8504
2021-2022,2021-12-29,69,ACTE(VGP),65 ans et plus,5834
2021-2022,2021-12-29,69,DOSES(J07E1),65 ans et plus,10042
2021-2022,2021-12-29,69,ACTE(VGP),moins de 65 ans,3566
2021-2022,2021-12-29,69,DOSES(J07E1),moins de 65 ans,7489
2021-2022,2021-12-30,70,ACTE(VGP),65 ans et plus,5312
2021-2022,2021-12-30,70,DOSES(J07E1),65 ans et plus,9370
2021-2022,2021-12-30,70,ACTE(VGP),moins de 65 ans,3348
2021-2022,2021-12-30,70,DOSES(J07E1),moins de 65 ans,7215
2021-2022,2021-12-31,71,ACTE(VGP),65 ans et plus,2433
2021-2022,2021-12-31,71,DOSES(J07E1),65 ans et plus,4985
2021-2022,2021-12-31,71,ACTE(VGP),moins de 65 ans,1725
2021-2022,2021-12-31,71,DOSES(J07E1),moins de 65 ans,4340
2021-2022,2022-01-01,72,ACTE(VGP),65 ans et plus,161
2021-2022,2022-01-01,72,DOSES(J07E1),65 ans et plus,186
2021-2022,2022-01-01,72,ACTE(VGP),moins de 65 ans,42
2021-2022,2022-01-01,72,DOSES(J07E1),moins de 65 ans,120
2021-2022,2022-01-02,73,ACTE(VGP),65 ans et plus,162
2021-2022,2022-01-02,73,DOSES(J07E1),65 ans et plus,83
2021-2022,2022-01-02,73,ACTE(VGP),moins de 65 ans,53
2021-2022,2022-01-02,73,DOSES(J07E1),moins de 65 ans,103
2021-2022,2022-01-03,74,ACTE(VGP),65 ans et plus,4488
2021-2022,2022-01-03,74,DOSES(J07E1),65 ans et plus,8126
2021-2022,2022-01-03,74,ACTE(VGP),moins de 65 ans,2358
2021-2022,2022-01-03,74,DOSES(J07E1),moins de 65 ans,5750
2021-2022,2022-01-04,75,ACTE(VGP),65 ans et plus,5820
2021-2022,2022-01-04,75,DOSES(J07E1),65 ans et plus,9693
2021-2022,2022-01-04,75,ACTE(VGP),moins de 65 ans,2963
2021-2022,2022-01-04,75,DOSES(J07E1),moins de 65 ans,6418
2021-2022,2022-01-05,76,ACTE(VGP),65 ans et plus,5089
2021-2022,2022-01-05,76,DOSES(J07E1),65 ans et plus,8320
2021-2022,2022-01-05,76,ACTE(VGP),moins de 65 ans,2498
2021-2022,2022-01-05,76,DOSES(J07E1),moins de 65 ans,5664
2021-2022,2022-01-06,77,ACTE(VGP),65 ans et plus,5049
2021-2022,2022-01-06,77,DOSES(J07E1),65 ans et plus,8692
2021-2022,2022-01-06,77,ACTE(VGP),moins de 65 ans,2486
2021-2022,2022-01-06,77,DOSES(J07E1),moins de 65 ans,5685
2021-2022,2022-01-07,78,ACTE(VGP),65 ans et plus,4576
2021-2022,2022-01-07,78,DOSES(J07E1),65 ans et plus,7667
2021-2022,2022-01-07,78,ACTE(VGP),moins de 65 ans,2805
2021-2022,2022-01-07,78,DOSES(J07E1),moins de 65 ans,5551
2021-2022,2022-01-08,79,ACTE(VGP),65 ans et plus,1854
2021-2022,2022-01-08,79,DOSES(J07E1),65 ans et plus,3709
2021-2022,2022-01-08,79,ACTE(VGP),moins de 65 ans,1481
2021-2022,2022-01-08,79,DOSES(J07E1),moins de 65 ans,3419
2021-2022,2022-01-09,80,ACTE(VGP),65 ans et plus,92
2021-2022,2022-01-09,80,DOSES(J07E1),65 ans et plus,215
2021-2022,2022-01-09,80,ACTE(VGP),moins de 65 ans,62
2021-2022,2022-01-09,80,DOSES(J07E1),moins de 65 ans,147
2021-2022,2022-01-10,81,ACTE(VGP),65 ans et plus,3528
2021-2022,2022-01-10,81,DOSES(J07E1),65 ans et plus,6438
2021-2022,2022-01-10,81,ACTE(VGP),moins de 65 ans,1758
2021-2022,2022-01-10,81,DOSES(J07E1),moins de 65 ans,4172
2021-2022,2022-01-11,82,ACTE(VGP),65 ans et plus,3805
2021-2022,2022-01-11,82,DOSES(J07E1),65 ans et plus,6550
2021-2022,2022-01-11,82,ACTE(VGP),moins de 65 ans,1912
2021-2022,2022-01-11,82,DOSES(J07E1),moins de 65 ans,4076
2021-2022,2022-01-12,83,ACTE(VGP),65 ans et plus,2945
2021-2022,2022-01-12,83,DOSES(J07E1),65 ans et plus,5139
2021-2022,2022-01-12,83,ACTE(VGP),moins de 65 ans,1604
2021-2022,2022-01-12,83,DOSES(J07E1),moins de 65 ans,3762
2021-2022,2022-01-13,84,ACTE(VGP),65 ans et plus,3042
2021-2022,2022-01-13,84,DOSES(J07E1),65 ans et plus,5082
2021-2022,2022-01-13,84,ACTE(VGP),moins de 65 ans,1511
2021-2022,2022-01-13,84,DOSES(J07E1),moins de 65 ans,3501
2021-2022,2022-01-14,85,ACTE(VGP),65 ans et plus,2800
2021-2022,2022-01-14,85,DOSES(J07E1),65 ans et plus,4653
2021-2022,2022-01-14,85,ACTE(VGP),moins de 65 ans,1662
2021-2022,2022-01-14,85,DOSES(J07E1),moins de 65 ans,3582
2021-2022,2022-01-15,86,ACTE(VGP),65 ans et plus,1109
2021-2022,2022-01-15,86,DOSES(J07E1),65 ans et plus,2525
2021-2022,2022-01-15,86,ACTE(VGP),moins de 65 ans,919
2021-2022,2022-01-15,86,DOSES(J07E1),moins de 65 ans,2096
2021-2022,2022-01-16,87,ACTE(VGP),65 ans et plus,130
2021-2022,2022-01-16,87,DOSES(J07E1),65 ans et plus,47
2021-2022,2022-01-16,87,ACTE(VGP),moins de 65 ans,72
2021-2022,2022-01-16,87,DOSES(J07E1),moins de 65 ans,108
2021-2022,2022-01-17,88,ACTE(VGP),65 ans et plus,2272
2021-2022,2022-01-17,88,DOSES(J07E1),65 ans et plus,3515
2021-2022,2022-01-17,88,ACTE(VGP),moins de 65 ans,1272
2021-2022,2022-01-17,88,DOSES(J07E1),moins de 65 ans,2723
2021-2022,2022-01-18,89,ACTE(VGP),65 ans et plus,2483
2021-2022,2022-01-18,89,DOSES(J07E1),65 ans et plus,4357
2021-2022,2022-01-18,89,ACTE(VGP),moins de 65 ans,1351
2021-2022,2022-01-18,89,DOSES(J07E1),moins de 65 ans,2629
2021-2022,2022-01-19,90,ACTE(VGP),65 ans et plus,2007
2021-2022,2022-01-19,90,DOSES(J07E1),65 ans et plus,3804
2021-2022,2022-01-19,90,ACTE(VGP),moins de 65 ans,1090
2021-2022,2022-01-19,90,DOSES(J07E1),moins de 65 ans,2459
2021-2022,2022-01-20,91,ACTE(VGP),65 ans et plus,2166
2021-2022,2022-01-20,91,DOSES(J07E1),65 ans et plus,3335
2021-2022,2022-01-20,91,ACTE(VGP),moins de 65 ans,1132
2021-2022,2022-01-20,91,DOSES(J07E1),moins de 65 ans,2499
2021-2022,2022-01-21,92,ACTE(VGP),65 ans et plus,2080
2021-2022,2022-01-21,92,DOSES(J07E1),65 ans et plus,3622
2021-2022,2022-01-21,92,ACTE(VGP),moins de 65 ans,1150
2021-2022,2022-01-21,92,DOSES(J07E1),moins de 65 ans,2550
2021-2022,2022-01-22,93,ACTE(VGP),65 ans et plus,786
2021-2022,2022-01-22,93,DOSES(J07E1),65 ans et plus,1990
2021-2022,2022-01-22,93,ACTE(VGP),moins de 65 ans,644
2021-2022,2022-01-22,93,DOSES(J07E1),moins de 65 ans,1610
2021-2022,2022-01-23,94,ACTE(VGP),65 ans et plus,49
2021-2022,2022-01-23,94,DOSES(J07E1),65 ans et plus,26
2021-2022,2022-01-23,94,ACTE(VGP),moins de 65 ans,49
2021-2022,2022-01-23,94,DOSES(J07E1),moins de 65 ans,174
2021-2022,2022-01-24,95,ACTE(VGP),65 ans et plus,1769
2021-2022,2022-01-24,95,DOSES(J07E1),65 ans et plus,3190
2021-2022,2022-01-24,95,ACTE(VGP),moins de 65 ans,835
2021-2022,2022-01-24,95,DOSES(J07E1),moins de 65 ans,1853
2021-2022,2022-01-25,96,ACTE(VGP),65 ans et plus,1995
2021-2022,2022-01-25,96,DOSES(J07E1),65 ans et plus,3597
2021-2022,2022-01-25,96,ACTE(VGP),moins de 65 ans,1004
2021-2022,2022-01-25,96,DOSES(J07E1),moins de 65 ans,2029
2021-2022,2022-01-26,97,ACTE(VGP),65 ans et plus,1662
2021-2022,2022-01-26,97,DOSES(J07E1),65 ans et plus,2837
2021-2022,2022-01-26,97,ACTE(VGP),moins de 65 ans,794
2021-2022,2022-01-26,97,DOSES(J07E1),moins de 65 ans,1758
2021-2022,2022-01-27,98,ACTE(VGP),65 ans et plus,1692
